timestamp_ms,symbol,direction,interval,entry,sl,tp1,tp2,tp3,confidence,vol_1h_pct,last_5m_trades,avg_5m_trades,activity_status,followup_ts_ms,followup_vol_1h_pct,timestamp_am,followup_ts_am,last_activity_check_ts_ms,last_activity_check_ts_am,last_activity_trades,last_activity_avg_trades,last_activity_status
1774475759999,PIPPINUSDT,BUY,1m,0.04654,0.04574,0.04733,0.04813,0.04892,0.6352875859036582,6.04,1334,32555.172413793105,VERY LOW,1774479390255,8.76,2026-03-26 01:55:59,2026-03-26 02:56:30,1774479320846,2026-03-26 02:55:20,3176,15966.24,VERY LOW
1774489679999,SUPERUSDT,BUY,1m,0.1355,0.1329,0.138,0.1406,0.1432,0.7173933659164999,5.88,7705,4170.0344827586205,VERY HIGH,1774493320616,5.15,2026-03-26 05:47:59,2026-03-26 06:48:40,1774490300271,2026-03-26 05:58:20,4224,4894.66,NORMAL
1774500119999,BRUSDT,SELL,1m,0.16747,0.17081,0.16412,0.16077,0.15742,0.6917314696446849,5.24,5022,14766.0,VERY LOW,1774503752004,6.88,2026-03-26 08:41:59,2026-03-26 09:42:32,1774500277597,2026-03-26 08:44:37,12728,14766.00,NORMAL
1774500899999,KATUSDT,BUY,1m,0.01217,0.01193,0.0124,0.01263,0.01286,0.6973528119877274,5.12,81,1588.9310344827586,VERY LOW,1774504540162,2.45,2026-03-26 08:54:59,2026-03-26 09:55:40,1774501458925,2026-03-26 09:04:18,1486,1589.14,NORMAL
1774518719999,KATUSDT,SELL,1m,0.01418,0.01446,0.01389,0.01361,0.01332,0.731,8.72,9091,19212.275862068964,VERY LOW,,,2026-03-26 13:51:59,,1774519458088,2026-03-26 14:04:18,10713,20044.66,LOW
1774519859999,MUSDT,SELL,1m,2.2456,2.2905,2.2006,2.1557,2.1108,0.731,5.15,11933,13172.034482758621,NORMAL,,,2026-03-26 14:10:59,,1774520178067,2026-03-26 14:16:18,11750,13444.69,NORMAL
1774519859999,SIRENUSDT,BUY,1m,1.98426,1.94854,2.01997,2.05569,2.09141,0.6659553150654847,3.81,14625,38842.44827586207,VERY LOW,,,2026-03-26 14:10:59,,1774521229528,2026-03-26 14:33:49,34745,37653.45,NORMAL
1774520459999,KATUSDT,SELL,1m,0.01427,0.01455,0.01398,0.01369,0.01341,0.7233159929882451,7.03,5831,24407.48275862069,VERY LOW,,,2026-03-26 14:20:59,,1774521865438,2026-03-26 14:44:25,10820,22552.72,VERY LOW
1774520759999,KNCUSDT,BUY,1m,0.1477,0.1448,0.1505,0.1533,0.1561,0.731,4.45,741,454.82758620689657,HIGH,,,2026-03-26 14:25:59,,1774521380322,2026-03-26 14:36:20,1298,1301.83,NORMAL
1774520999999,BSBUSDT,SELL,1m,0.15894,0.16195,0.15592,0.1529,0.14988,0.7112217668205886,4.52,120,6896.137931034483,VERY LOW,,,2026-03-26 14:29:59,,1774521865438,2026-03-26 14:44:25,3415,6970.48,VERY LOW
