timestamp_ms,symbol,side,entry_price,base_sl_pct,base_tp_pcts,ai_sl_pct,ai_tp_pcts,pnl_pct,reason
1774446496877,BSBUSDT,LONG,0.16667000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774458093406,DYDXUSDT,LONG,0.09700000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774458404142,DYDXUSDT,LONG,0.09700000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774475759513,PIPPINUSDT,LONG,0.04654000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774489674640,SUPERUSDT,LONG,0.13550000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774489754773,SUPERUSDT,LONG,0.13640000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774489810490,SUPERUSDT,LONG,0.13640000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774489867143,SUPERUSDT,LONG,0.13850000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774489927879,SUPERUSDT,LONG,0.13780000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774489993385,SUPERUSDT,LONG,0.13780000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774490567465,SUPERUSDT,SHORT,0.13390000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774490684188,SUPERUSDT,SHORT,0.13390000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774500108242,BRUSDT,SHORT,0.16747000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774500890157,KATUSDT,LONG,0.01217000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774518725402,KATUSDT,SHORT,0.01418000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774519893881,MUSDT,SHORT,2.24560000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
